Code,Name,Value
AUD,Австралийский доллар,50.7951
AZN,Азербайджанский манат,41.9832
DZD,Алжирских динаров,53.6203
GBP,Фунт стерлингов,95.7734
AMD,Армянских драмов,19.3918
BHD,Бахрейнский динар,189.7768
BYN,Белорусский рубль,25.863
BOB,Боливиано,10.3287
BRL,Бразильский реал,14.1117
HUF,Форинтов,23.3255
VND,Донгов,28.393
HKD,Гонконгских долларов,91.0815
GEL,Лари,26.7149
DKK,Датская крона,11.1146
AED,Дирхам ОАЭ,19.434
USD,Доллар США,71.3715
EUR,Евро,83.6892
EGP,Египетских фунтов,13.6493
INR,Индийских рупий,74.5096
IDR,Рупий,40.2252
IRR,Иранских риалов,48.6755
KZT,Тенге,14.9475
CAD,Канадский доллар,51.6026
QAR,Катарский риал,19.6076
KGS,Сомов,81.6141
CNY,Юань,10.4487
CUP,Кубинских песо,29.7381
MDL,Молдавских леев,41.2354
MNT,Тугриков,19.9582
NGN,Найр,51.8912
NZD,Новозеландский доллар,42.1056
NOK,Норвежских крон,76.9239
OMR,Оманский риал,185.6216
PLN,Злотый,19.5737
SAR,Саудовский риял,19.0324
RON,Румынский лей,15.7989
XDR,СДР (специальные права заимствования),97.664
SGD,Сингапурский доллар,55.7242
TJS,Сомони,77.1309
THB,Батов,21.8368
BDT,Так,58.107
TRY,Турецких лир,15.6269
TMT,Новый туркменский манат,20.3919
UZS,Узбекских сумов,59.4666
UAH,Гривен,16.1236
CZK,Чешских крон,34.1343
SEK,Шведских крон,76.9776
CHF,Швейцарский франк,90.4582
ETB,Эфиопских быров,44.9641
RSD,Сербских динаров,70.4595
ZAR,Рэндов,43.4831
KRW,Вон,47.5303
JPY,Иен,44.7246
MMK,Кьятов,33.9864
